ID_hecho,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,COMUNA,pos x,pos y,ROL,PARTICIPANTES,VICTIMA,ACUSADO,EDAD_victima,FECHA_FALLECIMIENTO
2016-0001,2016-01-01,2016,1,1,04:00:00,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,8,-58.47533969,-34.68757022,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,19.0,2016-01-01
2016-0002,2016-01-02,2016,1,2,01:15:00,1,AV GRAL PAZ  Y AV DE LOS CORRALES,9,-58.50877521,-34.66977709,CONDUCTOR,AUTO-PASAJEROS,AUTO,PASAJEROS,70.0,2016-01-02
2016-0003,2016-01-03,2016,1,3,07:00:00,7,AV ENTRE RIOS 2034,1,-58.39040293,-34.63189362,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,30.0,2016-01-03
2016-0004,2016-01-10,2016,1,10,00:00:00,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,8,-58.46503904,-34.68092974,CONDUCTOR,MOTO-SD,MOTO,SD,18.0,
2016-0005,2016-01-21,2016,1,21,05:20:00,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,1,-58.38718297,-34.62246630,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,29.0,2016-02-01
2016-0008,2016-01-24,2016,1,24,18:30:00,18,AV 27 DE FEBRERO Y AV ESCALADA,8,-58.44451316,-34.68475866,CONDUCTOR,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,30.0,2016-01-24
2016-0009,2016-01-24,2016,1,24,19:10:00,19,NOGOYA Y JOAQUIN V. GONZALES,11,-58.50095869,-34.60825440,PASAJERO_ACOMPAÑANTE,MOTO-AUTO,MOTO,AUTO,29.0,2016-01-26
2016-0010,2016-01-29,2016,1,29,15:20:00,15,AV GENERAL PAZ Y AV DE LOS CORRALES,9,-58.50877521,-34.66977709,CONDUCTOR,MOTO-AUTO,MOTO,AUTO,18.0,2016-01-29
2016-0012,2016-02-08,2016,2,8,01:20:00,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,1,-58.38048577,-34.61303893,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,22.0,2016-02-08
2016-0013,2016-02-10,2016,2,10,11:30:00,11,AV ENTRE RIOS 1366,1,-58.39114932,-34.62477387,PEATON,PEATON-AUTO,PEATON,AUTO,16.0,2016-02-10
2016-0015,2016-02-14,2016,2,14,05:14:00,5,AV SCALABRINI ORTIZ Y VERA,15,-58.43760020,-34.59912758,PEATON,PEATON-AUTO,PEATON,AUTO,16.0,2016-02-14
2016-0016,2016-02-14,2016,2,14,22:00:00,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,4,-58.36882665,-34.64291993,PASAJERO_ACOMPAÑANTE,MOTO-AUTO,MOTO,AUTO,19.0,2016-02-14
2016-0017,2016-02-15,2016,2,15,16:54:00,16,MARIANO ACOSTA Y ANA MARIA JANER,8,-58.44989671,-34.65970435,PEATON,PEATON-MOTO,PEATON,MOTO,59.0,2016-02-16
2016-0019,2016-02-17,2016,2,17,09:30:00,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,9,-58.50990884,-34.65468721,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,65.0,2016-02-17
2016-0020,2016-02-17,2016,2,17,16:00:00,16,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,PEATON-AUTO,PEATON,AUTO,59.0,2016-03-02
2016-0021,2016-02-17,2016,2,17,23:35:00,23,AV DIRECTORIO Y CURAPALIGUE,7,-58.45157703,-34.63063795,CONDUCTOR,AUTO-AUTO,AUTO,AUTO,34.0,2016-02-17
2016-0022,2016-02-21,2016,2,21,06:00:00,6,AV 9 DE JULIO Y ADOLFO ALSINA,1,-58.38144696,-34.61079875,PASAJERO_ACOMPAÑANTE,MOTO-AUTO,MOTO,AUTO,41.0,
2016-0025,2016-02-28,2016,2,28,04:50:00,4,AV GRAL PAZ Y AV 27 DE FEBRERO,8,-58.46244952,-34.70524971,PASAJERO_ACOMPAÑANTE,AUTO-AUTO,AUTO,AUTO,34.0,2016-02-28
2016-0026,2016-02-28,2016,2,28,07:30:00,7,HOLMBERG Y VEDIA,12,-58.49216191,-34.54738649,CONDUCTOR,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,30.0,2016-03-04
2016-0027,2016-02-28,2016,2,28,09:35:00,9,CURAPALIGUE Y AVELINO DIAZ,7,-58.44497874,-34.63852623,PASAJERO_ACOMPAÑANTE,AUTO-AUTO,AUTO,AUTO,34.0,
2016-0028,2016-03-02,2016,3,2,10:00:00,10,VIAMONTE Y AV 9 DE JULIO,1,-58.38199706,-34.60028648,PEATON,PEATON-CARGAS,PEATON,CARGAS,50.0,2016-03-02
2016-0029,2016-03-04,2016,3,4,17:30:00,17,AV CABILDO Y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,38.0,2016-03-04
2016-0031,2016-03-08,2016,3,8,12:30:00,12,AV GRAL PAZ Y AV CNEL ROCA,8,-58.47064556,-34.69843756,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,21.0,
2016-0034,2016-03-12,2016,3,12,12:30:00,12,AV AMANCIO ALCORTA Y BONAVENA,4,-58.40623949,-34.65076549,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,52.0,2016-03-12
2016-0035,2016-03-13,2016,3,13,06:00:00,6,AV CORRIENTES Y AV CALLAO,3,-58.39228965,-34.60443527,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,34.0,2016-03-13
2016-0036,2016-03-14,2016,3,14,00:15:00,0,HERRERA Y ARISTOBULO DEL VALLE,4,-58.37813396,-34.63668504,PASAJERO_ACOMPAÑANTE,MOTO-PASAJEROS,MOTO,PASAJEROS,36.0,2016-03-14
2016-0037,2016-03-19,2016,3,19,11:00:00,11,AV. EVA PERON Y QUIRNO,7,-58.46275892,-34.64358293,CONDUCTOR,MOTO-MOTO,MOTO,MOTO,20.0,2016-03-19
2016-0038,2016-03-21,2016,3,21,08:06:00,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,8,-58.49683458,-34.67892743,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,29.0,2016-03-21
2016-0039,2016-03-23,2016,3,23,01:50:00,1,BARTOLOME MITRE Y AV PUEYRREDON,3,-58.40603217,-34.60883960,CONDUCTOR,MOTO-PASAJEROS,MOTO,PASAJEROS,20.0,2016-03-23
2016-0041,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,7,-58.46076550,-34.63350444,CONDUCTOR,MOTO-CARGAS,MOTO,CARGAS,54.0,2016-03-29
2016-0041,2016-03-29,2016,3,29,11:00:00,11,AV DIRECTORIO Y RIVERA INDARTE,7,-58.46076550,-34.63350444,PASAJERO_ACOMPAÑANTE,MOTO-CARGAS,MOTO,CARGAS,,2016-03-30
2016-0043,2016-03-30,2016,3,30,18:15:00,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,8,-58.47832463,-34.67494416,PEATON,PEATON-CARGAS,PEATON,CARGAS,56.0,2016-03-30
2016-0044,2016-03-31,2016,3,31,19:40:00,19,AV JOSE MARIA MORENO Y BALBASTRO,7,-58.43213235,-34.63693953,CONDUCTOR,MULTIPLE,MOTO,MULTIPLE,24.0,2016-03-31
2016-0045,2016-04-11,2016,4,11,10:25:00,10,AV GRAL PAZ Y AV DEL LIBERTADOR,13,-58.46743471,-34.53476874,CONDUCTOR,MOTO-SD,MOTO,SD,,
2016-0047,2016-04-15,2016,4,15,05:30:00,5,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PEATON-PASAJEROS,PEATON,PASAJEROS,41.0,2016-04-15
